district_name,year,population,housing,housing_per_1000,housing_yoy_pct,population_yoy_pct,delta_growth
Madeira,1950,266990,55030,206.11258848646017,5.306466119371578,6.743055444499535,-1.4365893251279571
Madeira,1960,268069,79215,295.5022773987294,43.94875522442305,0.4041349863290744,43.54462023809398
Madeira,1981,259251,62509,241.1138240546806,-21.089440131288264,-3.2894515964173365,-17.799988534870927
Madeira,1991,253425,67849,267.7281246917234,8.542769841142883,-2.2472430193133275,10.79001286045621
Madeira,2001,248012,74799,301.5942776962405,10.243334463293486,-2.135937654138309,12.379272117431796
Madeira,2011,279336,91961,329.21284761004665,22.94415700744663,12.630034030611426,10.314122976835204
Madeira,2021,252693,90970,360.0020578330227,-1.077630734767998,-9.53797577111436,8.46034503634636
Portalegre,1940,186373,54746,293.7442655320245,,,
Portalegre,1950,196993,68465,347.55042057331985,25.05936506776752,5.698250283034567,19.361114784732948
Portalegre,1960,183841,77903,423.7520466054906,13.785145694880583,-6.676379363733743,20.461525058614328
Portalegre,1981,142141,59944,421.7220928514644,-23.053027482895395,-22.68264424149129,-0.3703832414041059
Portalegre,1991,134169,61827,460.8143460859066,3.14126518083544,-5.608515488142052,8.749780668977492
Portalegre,2001,126549,64628,510.6954618369169,4.530383165930751,-5.679404333340788,10.209787499271538
Portalegre,2011,118201,67917,574.5890474699875,5.089125456458499,-6.5966542604050655,11.685779716863564
Portalegre,2021,105031,67444,642.1342270377318,-0.6964382996893281,-11.142037715416963,10.445599415727637
Porto,1940,938288,200743,213.94603789028528,,,
Porto,1950,1052663,229383,217.90734546573785,14.266998102050875,12.189754105349326,2.077243996701551
Porto,1960,1191504,289006,242.55562717372328,25.992771914222068,13.189501293386384,12.803270620835685
Porto,1981,1561310,306275,196.1653995683112,5.975308471104412,31.03690797513059,-25.061599504026177
Porto,1991,1641501,360609,219.68247354098477,17.740266100726476,5.136135680934606,12.60413041979187
Porto,2001,1788658,411924,230.297798684824,14.23009409082967,8.964782842045182,5.265311248784489
Porto,2011,1817425,443042,243.77457116524752,7.554306134141253,1.6083007483822964,5.946005385758957
Porto,2021,1803223,443980,246.21469446651912,0.2117180763900439,-0.7814352724321516,0.9931533488221956
Santarém,1940,421996,146134,346.292381918312,,,
Santarém,1950,453192,185782,409.94104044202015,27.131263087303424,7.392487132579451,19.738775954723973
Santarém,1960,462121,226486,490.10107742344536,21.90954990257399,1.970246606294901,19.93930329627909
Santarém,1981,458229,161538,352.52679337187305,-28.67638617839513,-0.8422036652738107,-27.83418251312132
Santarém,1991,444880,175111,393.6140082718935,8.402357340068601,-2.913172234843276,11.315529574911876
Santarém,2001,455374,189749,416.6882606385081,8.359269263495728,2.3588383384283373,6.00043092506739
Santarém,2011,453429,211558,466.5735980715834,11.493604709379234,-0.4271214430336401,11.920726152412874
Santarém,2021,431633,209481,485.3220212541673,-0.9817638661738126,-4.806926773541176,3.825162907367363
Setúbal,1940,268884,61310,228.01654244953212,,,
Setúbal,1950,324186,90342,278.6733541855602,47.35279725982711,20.567233453831403,26.785563805995704
Setúbal,1960,376128,97402,258.9597158414157,7.814748400522453,16.022283503914416,-8.207535103391962
Setúbal,1981,654312,130127,198.8760713543386,33.597872733619425,73.95992853496682,-40.3620558013474
Setúbal,1991,712594,150533,211.24651624908432,15.681603356720752,8.907371406912912,6.774231949807842
Setúbal,2001,795222,175580,220.7936903154088,16.638876525413025,11.595382503922291,5.043494021490734
Setúbal,2011,858940,206603,240.53251682306097,17.668868891673316,8.012605285065044,9.656263606608272
Setúbal,2021,882588,211746,239.91488667419,2.489315256796853,2.753160872703564,-0.2638456159067104
Viana do Castelo,1940,258596,80740,312.2244736964222,,,
Viana do Castelo,1950,274532,88979,324.11157897804264,10.204359673024532,6.162508314127058,4.041851358897475
Viana do Castelo,1960,275345,103837,377.115981768327,16.698322075995463,0.2961403406524621,16.402181735343
Viana do Castelo,1981,255395,84045,329.0784862663717,-19.0606431233568,-7.245455701029613,-11.815187422327188
Viana do Castelo,1991,250059,99693,398.677912012765,18.618597180082094,-2.0893126333718315,20.70790981345393
Viana do Castelo,2001,250491,108587,433.49661265275,8.921388663196005,0.1727592288220059,8.748629434374
Viana do Castelo,2011,243380,120886,496.6965239543101,11.326401871310557,-2.8388245485865715,14.165226419897127
Viana do Castelo,2021,231882,123631,533.1634193253465,2.2707344109326177,-4.724299449420655,6.9950338603532725
Vila Real,1940,289114,94211,325.8610790207323,,,
Vila Real,1950,317372,123238,388.30772720970975,30.810627209136943,9.773999183713,21.036628025423944
Vila Real,1960,322649,138427,429.0327879522329,12.324932244924458,1.6627175680274275,10.66221467689703
Vila Real,1981,263972,89063,337.3956328701529,-35.66067313457635,-18.18601638312841,-17.474656751447938
Vila Real,1991,236294,100759,426.4137049607692,13.132277152128257,-10.485202976073216,23.61748012820147
Vila Real,2001,222781,108695,487.90067375584096,7.876219494040226,-5.718723285398697,13.594942779438924
Vila Real,2011,204474,118276,578.4402906971058,8.814572887437322,-8.217487128615097,17.03206001605242
Vila Real,2021,185148,119688,646.4450061572363,1.1938178497751029,-9.451568414566156,10.64538626434126
Viseu,1940,465563,168818,362.61043081172687,,,
Viseu,1950,487182,211773,434.689705284678,25.44456159888164,4.643625030339615,20.800936568542028
Viseu,1960,477468,229259,480.1557381855957,8.256954380397886,-1.993916031380472,10.250870411778358
Viseu,1981,421752,145853,345.82645725450027,-36.38068734488068,-11.669054261227974,-24.711633083652703
Viseu,1991,401871,165351,411.4529289249536,13.36825433827209,-4.713907699311449,18.082162037583537
Viseu,2001,394369,182618,463.0637803681324,10.442634154011763,-1.8667681917829304,12.309402345794696
Viseu,2011,375857,205653,547.1575625836422,12.613762060695,-4.694080924210575,17.307842984905573
Viseu,2021,352720,207281,587.6644363801315,0.7916247270888244,-6.155798614898755,6.947423341987579
Évora,1940,207952,43657,209.9378702777564,,,
Évora,1950,219638,54579,248.49525127710143,25.01775202143985,5.619566053704705,19.39818596773515
Évora,1960,215186,61574,286.14315057671035,12.816284651605937,-2.0269716533568904,14.843256304962829
Évora,1981,179241,63872,356.34704113456183,3.7320947153019146,-16.704153615941554,20.43624833124347
Évora,1991,173654,68695,395.5854745643636,7.551039579158325,-3.117032375405182,10.668071954563509
Évora,2001,173400,73898,426.1707035755479,7.574059247397913,-0.1462678659863825,7.720327113384295
Évora,2011,165766,80458,485.3709445845348,8.877100868765053,-4.402537485582469,13.279638354347522
Évora,2021,153507,80507,524.4516536705166,0.0609013398294777,-7.395364550028349,7.456265889857827
